geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,census_block_group,date_range,visitor_flows,pop_flows
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,36939290992321,01/18/21 - 01/24/21,61,800.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,36939290992321,01/18/21 - 01/24/21,233,3056.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,36939290992321,01/18/21 - 01/24/21,323,4236.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,36939290992321,01/18/21 - 01/24/21,611,8014.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,36939290992321,01/18/21 - 01/24/21,3538,46409.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,36939290992321,01/18/21 - 01/24/21,44,577.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,36939290992321,01/18/21 - 01/24/21,1511,19820.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,36939290992321,01/18/21 - 01/24/21,1008,13222.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,36939290992321,01/18/21 - 01/24/21,174,2282.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,36939290992321,01/18/21 - 01/24/21,783,10270.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,36939290992321,01/18/21 - 01/24/21,28,367.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,36939290992321,01/18/21 - 01/24/21,2709,35534.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,36939290992321,01/18/21 - 01/24/21,135,1770.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,36939290992321,01/18/21 - 01/24/21,44901,588981.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,36939290992321,01/18/21 - 01/24/21,7338,96255.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,36939290992321,01/18/21 - 01/24/21,499,6545.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,36939290992321,01/18/21 - 01/24/21,20,262.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,36939290992321,01/18/21 - 01/24/21,2198,28831.0
